,0,1,2,3,4,5,6
0,Granada,P.T. Ciencias Salud,Armilla,Alhendín,Urb.Suspiro del Moro,Otura,Urb. Molino Alto
0,06:10,06:17,06:25,06:30,--,06:35,06:45
0,06:30,06:37,06:40,06:45,--,06:55,07:00
0,06:40,06:47,06:50,06:55,--,07:05,07:10
0,07:20,07:27,07:35,07:40,--,07:50,--
0,07:35,07:42,07:45,07:50,--,08:00,--
0,07:50,07:57,08:00,08:05,--,08:15,08:20
0,08:25,08:32,08:35,08:40,--,08:50,09:05
0,08:30,08:37,08:40,08:45,08:50,08:55,09:00
0,08:30,08:37,08:40,08:45,08:50,08:55,09:00
0,09:05,09:12,09:15,09:20,--,09:30,--
0,09:45,09:52,09:55,10:05,--,10:15,10:20
0,09:45,09:52,09:55,10:05,--,10:15,10:20
0,09:50,09:57,10:00,10:10,--,10:20,10:25
0,10:30,10:37,10:40,10:50,10:55,11:00,--
0,11:15,11:22,11:25,11:35,--,11:45,11:50
0,12:00,12:07,12:10,12:20,--,12:30,12:35
0,12:45,12:52,12:55,13:05,--,13:15,13:20
0,13:30,13:37,13:40,13:50,--,14:00,14:05
0,14:15,14:22,14:25,14:35,14:40,14:45,14:50
0,14:15,14:22,14:25,14:35,14:40,14:45,14:50
0,14:15,14:22,14:25,14:35,--,14:45,14:50
0,15:00,15:07,15:10,15:20,15:25,15:30,15:35
0,15:45,15:52,15:55,16:05,--,16:15,16:20
0,16:30,16:37,16:40,16:50,--,17:00,--
0,17:15,17:22,17:25,17:35,--,17:45,17:50
0,18:00,18:07,18:10,18:20,--,18:30,--
0,18:45,18:52,18:55,19:05,--,19:15,19:20
0,19:30,19:37,19:40,19:50,--,20:00,--
0,20:15,20:22,20:25,20:35,20:40,20:45,20:50
0,20:15,20:22,20:25,20:35,20:40,20:45,20:50
0,20:15,20:22,20:25,20:35,--,20:45,20:50
0,21:00,21:07,21:10,21:20,21:25,21:30,21:35
0,21:45,21:52,21:55,22:05,--,22:15,22:20
0,23:00,23:07,23:10,23:20,--,23:28,--
