,0,1,2,3,4,5,6,7,8
0,Granada,La Cueva,Políg. Asegra,Emp. Albolote,El Chaparral,Ciudad Ilíberis,Llanos De Silva,Urb. Cubillas ,Centro Penitenciario
0,08:00,08:15,08:17,08:20,08:25,08:32,08:33,08:35,--
0,08:00,08:10,08:12,08:15,08:20,08:27,08:28,08:30,08:45
0,08:00,08:10,08:12,08:15,08:20,08:27,08:28,08:30,08:45
0,08:45,08:55,08:57,09:00,09:05,09:12,09:13,09:15,09:30
0,08:45,09:00,09:02,09:05,09:10,09:17,09:18,09:20,--
0,08:45,08:55,08:57,09:00,09:05,09:12,09:13,09:15,09:30
0,09:30,09:45,09:47,09:50,09:55,10:02,10:03,10:05,--
0,10:30,10:40,10:42,10:45,10:50,10:57,10:58,11:00,11:15
0,11:30,11:45,11:47,11:50,11:55,12:02,12:03,12:05,--
0,11:45,11:55,11:57,12:00,12:05,12:12,12:13,12:15,12:30
0,12:00,12:10,12:12,12:15,12:20,12:27,12:28,12:30,12:45
0,13:00,13:15,13:17,13:20,13:25,13:32,13:33,13:35,--
0,13:15,13:25,13:27,13:30,13:35,13:42,13:43,13:45,14:00
0,13:30,13:40,13:42,13:45,13:50,13:57,13:58,14:00,14:15
0,13:30,13:45,13:47,13:50,13:55,14:02,14:03,14:05,--
0,14:30,14:45,14:47,14:50,14:55,15:02,15:03,15:05,--
0,15:00,15:10,15:12,15:15,15:20,15:27,15:28,15:30,15:45
0,15:00,15:15,15:17,15:20,15:25,15:32,15:33,15:35,--
0,17:00,17:10,17:12,17:15,17:20,17:27,17:28,17:30,17:45
0,17:00,17:10,17:12,17:15,17:20,17:27,17:28,17:30,17:45
0,17:30,17:45,17:47,17:50,17:55,18:02,18:03,18:05,--
0,18:30,18:40,18:42,18:45,18:50,18:57,18:58,19:00,19:15
0,18:30,18:40,18:42,18:45,18:50,18:57,18:58,19:00,19:15
0,19:30,19:45,19:47,19:50,19:55,20:02,20:03,20:05,--
0,20:30,20:40,20:42,20:45,20:50,20:57,20:58,21:00,--
0,21:00,21:10,21:12,21:15,21:20,21:27,21:28,21:30,--
0,21:00,21:15,21:17,21:20,21:25,21:32,21:33,21:35,--
0,21:30,21:40,21:42,21:45,21:50,21:57,21:58,22:00,--
0,22:30,22:45,22:47,22:50,22:55,23:02,23:03,23:05,--
0,23:00,23:10,23:12,23:15,23:20,23:27,23:28,23:30,--
