,0,1,2,3
0,Monachil,Cruce Colinas,Laud,Canteras
0,06:50,06:55,07:00,07:10
0,07:20,07:25,07:30,07:40
0,07:50,07:55,08:00,08:10
0,08:20,08:25,08:30,08:35
0,08:40,08:50,08:55,09:10
0,09:20,09:25,09:30,09:40
0,09:50,09:55,10:00,10:10
0,10:20,10:25,10:30,10:40
0,10:50,10:55,11:00,11:10
0,12:50,12:55,13:00,13:10
0,13:20,13:25,13:30,13:40
0,13:50,13:55,14:00,14:10
0,14:20,14:25,14:30,14:40
0,14:50,14:55,15:00,15:10
0,15:20,15:25,15:30,15:40
0,18:50,18:55,19:00,19:10
0,19:20,19:25,19:30,19:40
0,19:50,19:55,20:00,20:10
0,20:20,20:25,20:30,20:40
